         5003222 function calls (5003144 primitive calls) in 47.319 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 numbers.py:267(Rational)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 serializing_producer.py:19(<module>)
        1    0.000    0.000    0.000    0.000 serializing_producer.py:26(SerializingProducer)
        1    0.000    0.000    0.001    0.001 struct.py:3(<module>)
        6    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x10ae6ad50}
        6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      8/4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        9    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       66    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      4/3    0.004    0.001    0.007    0.002 {built-in method _imp.create_dynamic}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        7    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       13    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       66    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       26    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       28    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       26    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       13    0.000    0.000    0.000    0.000 {built-in method builtins.any}
     11/1    0.000    0.000   47.319   47.319 {built-in method builtins.exec}
       78    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       90    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       57    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       62    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       34    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 {built-in method confluent_kafka.cimpl.version}
       27    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        9    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       31    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        3    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       64    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       16    0.000    0.000    0.000    0.000 {built-in method ujson.dumps}
  1000000   20.559    0.000   20.559    0.000 {built-in method ujson.loads}
        4    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
  1000019    0.449    0.000    0.449    0.000 {method 'add' of 'set' objects}
        1    0.014    0.014    0.014    0.014 {method 'close' of 'cimpl.Consumer' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       16    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'flush' of 'cimpl.Producer' objects}
       16    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      179    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       17    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {method 'partition' of 'cimpl.Message' objects}
  1000001   21.037    0.000   21.037    0.000 {method 'poll' of 'cimpl.Consumer' objects}
       16    0.000    0.000    0.000    0.000 {method 'poll' of 'cimpl.Producer' objects}
       16    0.000    0.000    0.000    0.000 {method 'produce' of 'cimpl.Producer' objects}
        9    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
        2    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      103    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      338    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
  1000000    0.305    0.000    0.305    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'subscribe' of 'cimpl.Consumer' objects}
       16    0.000    0.000    0.000    0.000 {method 'topic' of 'cimpl.Message' objects}
  1000000    0.134    0.000    0.134    0.000 {method 'value' of 'cimpl.Message' objects}


